participant,I,i,I7,i7,viio,viiø7,viio7,iii,III,iii7,III7,vi,VI,vi7,VI7,ii,iio,ii7,iiø7,IV,iv,IV7,iv7,N6,It6,Fr6,Ger6,V/V,V7/V,viio/V,viio7/V,How attracted,block,group
57,1.538,1.334,1.378,1.005,2.619,1,3.927,1,1,1.015,1.456,1.616,2.856,1,1.431,6.869,1.228,2.183,1.62,6.758,5.541,4.267,1.601,1.141,2.226,1.819,1.669,1.291,3.433,3.452,2.105,"Major, especially five and seven sounds good ",1,freshman
58,6.054,3.527,5.572,5.513,2.961,1.938,3.231,6.104,2.994,4.059,5.031,6.476,4.997,2.327,7,6.603,4.38,6.062,7,6.037,5.09,5.521,7,1.439,1,5.023,7,1.287,7,3.941,1.921,"I think for me when the sounds move in common harmonic progressions like from Tonic to Predominant to Dominant, they usually sound attracted. Also, when there is dissonant in the chord and it is resolved in the next chord, they sound attracted.",1,freshman
59,7,5.056,4.059,1.946,4.059,3.079,4.059,4.017,6.696,1.93,5.023,7,5.039,2.977,1,7,4.076,6.079,6.577,7,7,3.011,5.977,2.944,6.087,2.961,6.096,6.104,6.037,5.023,1.904,leading tones. a sense of direction that t had to land there. ,1,freshman
60,2.927,4.279,3.518,2.285,1.955,4.803,6.451,3.561,5.065,2.935,2.876,3.907,3.941,3.603,6.425,4.482,5.192,4.541,5.969,5.496,3.206,4.152,3.899,4.059,1.946,5.851,6.62,2.048,6.51,4.583,5.631,Usually something chromatically related to the 3rd chord ,1,freshman
61,3.294,4.476,1.644,2.827,2.071,3.438,5.751,2.17,5.022,2.209,2.301,1.565,4.976,3.524,3.944,3.09,6.836,4.667,6.389,6.77,6.698,4.733,5.738,5.337,6.501,6.796,6.573,6.008,6.658,2.696,5.324,"A lot of the most attracted sounds had the lowered sixth, which pulls to 5. Also, they tended to be either a dominant or predominant of the chord it was pulling to.",1,freshman
41,2.031,3.535,2.521,1.008,2.403,5.648,3.375,1.439,5.8,2.724,5.132,3.299,4.904,2.749,6.89,4.541,5.8,3.941,5.918,3.121,2.039,3.746,2.285,4.786,6.341,6.442,5.293,4.161,4.059,4.651,4.651,na,2,freshman
42,1.896,1.008,4.541,7,4.718,1.346,6.839,1.473,4.972,4.211,6.662,1.406,4.592,7,7,1.423,7,4.507,3.442,1.904,1.913,5.58,5.952,4.059,7,7,5.859,2.572,6.544,3.501,7,na,2,freshman
43,2.885,3.983,5.994,3.442,2.707,2.918,5.124,3.493,3.003,3.535,5.099,1.008,3.958,3.476,5.335,2.563,4.161,4.507,5.377,2.496,1.346,3.941,5.31,1.6,2.538,5.606,5.673,1.118,5.124,3.518,4.761,na,2,freshman
44,6.324,6.197,6.501,5.935,4.346,4.938,6.358,4.744,4.49,5.842,4.752,5.606,4.406,4.913,5.073,5.521,5.268,6.172,6.18,2.876,4.693,3.146,4.769,5.496,5.851,6.823,5.056,2.859,6.476,3.628,6.544,na,2,freshman
45,6.856,6.248,3.493,6.485,2.91,3.408,3.518,6.113,6.848,4.059,5.445,6.501,6.51,4.296,6.434,6.468,6.485,6.003,6.924,6.839,6.932,5.006,6.256,4.701,5.648,6.383,6.476,4.608,3.51,2.994,3.341,na,2,freshman
46,5.023,2.749,3.687,4.059,4.6,4.355,4.532,4.059,5.175,3.848,4.904,5.023,4.152,3.848,3.214,4.896,5.031,5.327,4,5.394,2.766,4.059,4.575,5.986,6.087,5.394,4.592,5.673,3.544,4.482,5.352,na,2,freshman
47,5.538,6.096,4.769,5.656,4.482,5.47,4.837,5.918,6.13,4.651,6.823,4.887,5.352,4.777,6.434,6.214,5.994,6.197,5.614,6.349,6.772,4.296,5.301,6.468,6.087,6.121,5.572,5.47,3.983,5.496,5.614,na,2,freshman
